password, salt, magento1_format 
TeuZLMcV,4FQVTnhA0RnAFrxn98yb9m1opWx2JMz4,d74cea748aa102f6ea4045cead8ee9a9:4FQVTnhA0RnAFrxn98yb9m1opWx2JMz4
uNB6CWaN,UFMhFKuaS3b2BFceoqGA3NZ226blE92X,417ce774dac6e80acced133d7efa5bf6:UFMhFKuaS3b2BFceoqGA3NZ226blE92X
t7ZzOgMt,8X83g9ehw6C14DlrQXQIKLsnbCSo5tjU,7efaabdc097a686ad7071c937f1af784:8X83g9ehw6C14DlrQXQIKLsnbCSo5tjU
qM8lzpFP,DBAmsL7jKtoNwrreNGzjfD2BBWTqhQZ2,e6be927cf3e96938e3e280e81bc903b6:DBAmsL7jKtoNwrreNGzjfD2BBWTqhQZ2
KgQZp0Bl,6tovFA5ZjvNO4tHtwXY8F8LpcJFR6ym0,a4838906458719e565066de07bc50181:6tovFA5ZjvNO4tHtwXY8F8LpcJFR6ym0
fwcoWoPm,vsOkNkDbFXnVWfRisvPkoAYe2W9s8Djq,e094394e48206242a7d5770e5a7bc724:vsOkNkDbFXnVWfRisvPkoAYe2W9s8Djq
o8ZK2zqC,Y97XtCniskQZ3Bp3M2rPZcWPq807Kuz2,914a5a0f2f9251c007c85ff2658fdc08:Y97XtCniskQZ3Bp3M2rPZcWPq807Kuz2
FiXexkkf,DAQwsOVh0AWfM18DG4eFEifVuzKKc5op,5846cb7a000d75a956b0d380f03c9b18:DAQwsOVh0AWfM18DG4eFEifVuzKKc5op
RYkRPKuf,NYyJ9KpsxrfFEmJhChvH9yJKdGfCczhF,ad00cfde793420580ec1441acb349690:NYyJ9KpsxrfFEmJhChvH9yJKdGfCczhF
MTY40vl0,Ca9d92i8DTasQzCu8Svt1vjC1vMjHbA7,f3e95b4d05089c19e489745ef331b8ca:Ca9d92i8DTasQzCu8Svt1vjC1vMjHbA7
M7yNnaEP,6Y8la0gURkXrdLJUzva2N9HDbCLyboHk,ad35f3d567a5a556011bbb80c3494f3e:6Y8la0gURkXrdLJUzva2N9HDbCLyboHk
b0Qu6csz,02WiwehSEaWyYsTIyaNs8gTGVY5a44u2,ddce8a2bc3368503a72e1b657626d693:02WiwehSEaWyYsTIyaNs8gTGVY5a44u2
FqFni0GW,eFQHBscKGz1TrVwZWMcNWgnXy5RVhHxA,83853ca71bf2872cea486672fa1548d1:eFQHBscKGz1TrVwZWMcNWgnXy5RVhHxA
vBlRmISM,S2DEdknjOJ0WqJQF4Li46lAaxlY0Lpz1,e65a09a2add9ff8da28377c143ca5d74:S2DEdknjOJ0WqJQF4Li46lAaxlY0Lpz1
4C2UaXnf,g66VeRn2CW6MVlbnd0Ons53TBuGzE4Am,43bb356f6db5ebc882eb95e0b8c92789:g66VeRn2CW6MVlbnd0Ons53TBuGzE4Am
MBexA7Kz,Hl7QyM1KfFBGi0ISfy8K7pNqLZYuMw5I,ff6f0e2f5662d38e3056d3e7dad14d6e:Hl7QyM1KfFBGi0ISfy8K7pNqLZYuMw5I
OyLULWmc,eYSHwwWM8QbTDrQ0nCaKo4UEnrBiyDYA,d4b35bab51c0884300d85672bca7daba:eYSHwwWM8QbTDrQ0nCaKo4UEnrBiyDYA
nBYUASWj,JbuGgF6PLlM2Q7ZU6OLXmev1HQA46ck9,9a65d27e0c90a93cd500327719025caf:JbuGgF6PLlM2Q7ZU6OLXmev1HQA46ck9
QXAvgfTb,LTiJBaPRtwAfowsLDYRLAnvTAsRp6PSO,4d9b18e1dbb4f921d86757670a6773e4:LTiJBaPRtwAfowsLDYRLAnvTAsRp6PSO
3jB9HOd7,mjJ8C22gXa9IlBOUm8kqH37VP68wpgr1,283dbc9c79d3b8d1dbd421826ede5820:mjJ8C22gXa9IlBOUm8kqH37VP68wpgr1
odYiPP7A,20xNTnGIJsqHOCNIVrJd8FrpCU4gbvHy,d215e5697acce0426cfaa8ffb77985fc:20xNTnGIJsqHOCNIVrJd8FrpCU4gbvHy
G1GM3iqc,BEUlpAh0Gc1pvKijL4wkP44rx4GNT9hi,f44473e4e51e7a9f3ab194f1707b0514:BEUlpAh0Gc1pvKijL4wkP44rx4GNT9hi
Boh859ER,in4jWsi5RQ0OW74y5jOLjxsSsB5J9TCe,d6ea37e5737b92539052ddd6e90cc0fd:in4jWsi5RQ0OW74y5jOLjxsSsB5J9TCe
WxB79pRY,nSixNuVkmOb7o2BRmvmSYsEXGEMBX4Q3,4fbb85d800642fb2dbc61d552ef52e05:nSixNuVkmOb7o2BRmvmSYsEXGEMBX4Q3
bS7QGEZx,tc2EH7nv94qVfvWJED7Y8UwbcLl3E5T1,8611eb35c2c32f6a9f6a45003daf6556:tc2EH7nv94qVfvWJED7Y8UwbcLl3E5T1
DSEg5kdW,cYz3biUviOTQQQg2ZjbY3c5ziN2ndamp,7fb3132f5d5bd32034e82bac5bb22321:cYz3biUviOTQQQg2ZjbY3c5ziN2ndamp
zkrieQa7,HKd0RqWW8D7SxD0Ml6VMmjUDSb65GbOb,8671699df73c6d7ba239e1fc21fd5294:HKd0RqWW8D7SxD0Ml6VMmjUDSb65GbOb
H89DgkXq,dMsio28Hyiuh3zcD55S22mu7ebV3zzkg,9244ad8f86ebe45ffea6cfa1877d6c35:dMsio28Hyiuh3zcD55S22mu7ebV3zzkg
jUekjcd8,CR8VIFGNxywsWEGmbzK7cVWXJnYRiav2,d8051a22d0a3732022391e57a21c5069:CR8VIFGNxywsWEGmbzK7cVWXJnYRiav2
HrBMNSo4,XUiepIEVjCDFsxurcliDEp5egru1gGBR,877cb5eac8ebf30abde7ab7d2cb46eb3:XUiepIEVjCDFsxurcliDEp5egru1gGBR
opeEH7he,mlQF9B4qWooGS8Q3I2nfPNelTEh5CBUR,c7eae50d98aab8de0313f9e40e36a1f0:mlQF9B4qWooGS8Q3I2nfPNelTEh5CBUR
